280,3.367,3.35,3.328
282,2.64,2.613,2.621
284,2.211,2.194,2.189
286,1.776,1.763,1.759
288,1.461,1.446,1.45
290,1.285,1.271,1.271
292,1.101,1.092,1.091
294,0.938,0.938,0.932
296,0.795,0.775,0.773
298,0.657,0.657,0.65
300,0.586,0.578,0.579
302,0.531,0.527,0.524
304,0.495,0.491,0.488
306,0.457,0.454,0.452
308,0.434,0.431,0.429
310,0.416,0.41,0.412
312,0.399,0.395,0.395
314,0.385,0.382,0.381
316,0.365,0.362,0.362
318,0.351,0.348,0.347
320,0.336,0.333,0.332
322,0.323,0.32,0.319
324,0.312,0.308,0.308
326,0.303,0.301,0.3
328,0.295,0.293,0.292
330,0.287,0.284,0.283
332,0.275,0.273,0.272
334,0.265,0.262,0.262
336,0.256,0.254,0.253
338,0.248,0.245,0.245
340,0.238,0.235,0.234
342,0.23,0.228,0.227
344,0.224,0.222,0.221
346,0.22,0.217,0.216
348,0.215,0.212,0.212
350,0.21,0.208,0.207
352,0.205,0.203,0.202
354,0.201,0.198,0.197
356,0.195,0.192,0.192
358,0.187,0.185,0.184
360,0.178,0.176,0.176
362,0.169,0.168,0.167
364,0.158,0.157,0.156
366,0.142,0.141,0.14
368,0.127,0.126,0.125
370,0.112,0.113,0.112
372,0.1,0.099,0.097
374,0.091,0.089,0.089
376,0.084,0.083,0.082
378,0.079,0.079,0.077
380,0.075,0.074,0.073
382,0.071,0.07,0.069
384,0.068,0.067,0.066
386,0.065,0.065,0.064
388,0.064,0.063,0.062
390,0.062,0.062,0.06
392,0.061,0.061,0.06
394,0.06,0.06,0.059
396,0.06,0.059,0.058
398,0.059,0.059,0.058
400,0.059,0.058,0.057
402,0.059,0.058,0.057
404,0.058,0.058,0.056
406,0.058,0.057,0.056
408,0.057,0.057,0.056
410,0.057,0.056,0.055
412,0.056,0.056,0.055
414,0.056,0.055,0.054
416,0.056,0.055,0.054
418,0.055,0.055,0.054
420,0.055,0.055,0.053
422,0.055,0.054,0.053
424,0.055,0.054,0.053
426,0.054,0.054,0.053
428,0.054,0.054,0.052
430,0.054,0.053,0.052
432,0.054,0.053,0.052
434,0.053,0.053,0.052
436,0.053,0.053,0.052
438,0.053,0.052,0.051
440,0.053,0.052,0.051
442,0.053,0.052,0.051
444,0.052,0.052,0.051
446,0.052,0.052,0.051
448,0.052,0.052,0.051
450,0.052,0.052,0.051
452,0.052,0.052,0.05
454,0.052,0.052,0.05
456,0.052,0.052,0.05
458,0.052,0.052,0.05
460,0.051,0.052,0.05
462,0.051,0.052,0.05
464,0.051,0.052,0.05
466,0.051,0.051,0.05
468,0.051,0.051,0.05
470,0.051,0.051,0.05
472,0.051,0.051,0.05
474,0.051,0.051,0.05
476,0.051,0.051,0.05
478,0.051,0.051,0.05
480,0.051,0.051,0.049
482,0.051,0.051,0.049
484,0.051,0.05,0.049
486,0.051,0.05,0.049
488,0.051,0.05,0.049
490,0.05,0.05,0.049
492,0.05,0.05,0.049
494,0.051,0.05,0.049
496,0.05,0.05,0.049
498,0.05,0.05,0.049
500,0.05,0.05,0.049
502,0.05,0.05,0.049
504,0.05,0.05,0.049
506,0.05,0.05,0.049
508,0.05,0.05,0.049
510,0.05,0.05,0.049
512,0.05,0.05,0.049
514,0.05,0.05,0.049
516,0.05,0.05,0.049
518,0.05,0.05,0.049
520,0.05,0.05,0.049
522,0.05,0.05,0.049
524,0.05,0.05,0.049
526,0.05,0.05,0.049
528,0.05,0.05,0.049
530,0.05,0.05,0.049
532,0.051,0.05,0.049
534,0.051,0.05,0.049
536,0.051,0.05,0.049
538,0.051,0.05,0.049
540,0.051,0.051,0.049
542,0.051,0.051,0.049
544,0.051,0.051,0.049
546,0.051,0.051,0.05
548,0.051,0.051,0.049
550,0.051,0.051,0.049
552,0.051,0.051,0.05
554,0.051,0.051,0.05
556,0.051,0.051,0.05
558,0.051,0.051,0.05
560,0.051,0.051,0.05
562,0.051,0.051,0.05
564,0.051,0.051,0.05
566,0.051,0.051,0.05
568,0.051,0.051,0.05
570,0.051,0.051,0.049
572,0.051,0.051,0.049
574,0.051,0.05,0.049
576,0.051,0.051,0.049
578,0.051,0.05,0.049
580,0.051,0.05,0.049
582,0.05,0.05,0.049
584,0.05,0.05,0.049
586,0.05,0.05,0.049
588,0.05,0.05,0.049
590,0.05,0.05,0.049
592,0.05,0.05,0.049
594,0.05,0.05,0.049
596,0.05,0.05,0.049
598,0.05,0.05,0.049
600,0.05,0.05,0.049
