seal,wavelength,a1,a2,a3
thermo-polyolefin,318,0.404,0.402,0.404
thermo-polyolefin,320,0.388,0.385,0.388
thermo-polyolefin,322,0.374,0.372,0.375
thermo-polyolefin,324,0.362,0.36,0.363
thermo-polyolefin,326,0.353,0.351,0.355
thermo-polyolefin,328,0.345,0.343,0.346
thermo-polyolefin,330,0.336,0.334,0.337
thermo-polyolefin,332,0.324,0.322,0.324
thermo-polyolefin,334,0.313,0.311,0.314
thermo-polyolefin,336,0.304,0.302,0.304
thermo-polyolefin,338,0.295,0.293,0.295
thermo-polyolefin,340,0.284,0.282,0.285
thermo-polyolefin,342,0.276,0.274,0.276
thermo-polyolefin,344,0.27,0.268,0.27
thermo-polyolefin,346,0.264,0.262,0.264
thermo-polyolefin,348,0.26,0.258,0.26
thermo-polyolefin,350,0.255,0.252,0.255
thermo-polyolefin,352,0.25,0.248,0.249
thermo-polyolefin,354,0.245,0.242,0.245
thermo-polyolefin,356,0.239,0.236,0.239
thermo-polyolefin,358,0.231,0.229,0.23
thermo-polyolefin,360,0.222,0.22,0.222
thermo-polyolefin,362,0.213,0.211,0.213
thermo-polyolefin,364,0.202,0.2,0.201
thermo-polyolefin,366,0.186,0.184,0.185
thermo-polyolefin,368,0.17,0.169,0.17
thermo-polyolefin,370,0.157,0.154,0.155
thermo-polyolefin,372,0.144,0.141,0.142
thermo-polyolefin,374,0.134,0.132,0.133
thermo-polyolefin,376,0.127,0.126,0.126
thermo-polyolefin,378,0.122,0.121,0.121
thermo-polyolefin,380,0.117,0.116,0.116
thermo-polyolefin,382,0.113,0.112,0.113
thermo-polyolefin,384,0.11,0.109,0.109
thermo-polyolefin,386,0.107,0.106,0.106
thermo-polyolefin,388,0.106,0.104,0.105
thermo-polyolefin,390,0.104,0.103,0.103
thermo-polyolefin,392,0.103,0.102,0.102
thermo-polyolefin,394,0.102,0.101,0.101
thermo-polyolefin,396,0.102,0.1,0.1
thermo-polyolefin,398,0.101,0.1,0.1
thermo-polyolefin,400,0.1,0.099,0.099
thermo-polyolefin,402,0.1,0.098,0.098
thermo-polyolefin,404,0.099,0.098,0.098
thermo-polyolefin,406,0.099,0.097,0.097
thermo-polyolefin,408,0.098,0.097,0.097
thermo-polyolefin,410,0.098,0.096,0.096
thermo-polyolefin,412,0.097,0.096,0.096
thermo-polyolefin,414,0.097,0.095,0.095
thermo-polyolefin,416,0.096,0.095,0.095
thermo-polyolefin,418,0.096,0.094,0.094
thermo-polyolefin,420,0.095,0.094,0.094
thermo-polyolefin,422,0.095,0.094,0.094
thermo-polyolefin,424,0.095,0.093,0.093
thermo-polyolefin,426,0.095,0.093,0.093
thermo-polyolefin,428,0.094,0.093,0.093
thermo-polyolefin,430,0.094,0.092,0.092
thermo-polyolefin,432,0.094,0.092,0.092
thermo-polyolefin,434,0.093,0.092,0.092
thermo-polyolefin,436,0.093,0.091,0.091
thermo-polyolefin,438,0.093,0.091,0.091
thermo-polyolefin,440,0.092,0.091,0.091
thermo-polyolefin,442,0.092,0.091,0.091
thermo-polyolefin,444,0.092,0.091,0.091
thermo-polyolefin,446,0.092,0.09,0.09
thermo-polyolefin,448,0.092,0.09,0.09
thermo-polyolefin,450,0.092,0.09,0.09
thermo-polyolefin,452,0.091,0.09,0.09
thermo-polyolefin,454,0.091,0.09,0.089
thermo-polyolefin,456,0.091,0.09,0.089
thermo-polyolefin,458,0.09,0.09,0.089
thermo-polyolefin,460,0.09,0.09,0.089
thermo-polyolefin,462,0.09,0.09,0.089
thermo-polyolefin,464,0.09,0.09,0.089
thermo-polyolefin,466,0.09,0.089,0.089
thermo-polyolefin,468,0.09,0.089,0.088
thermo-polyolefin,470,0.09,0.089,0.088
thermo-polyolefin,472,0.09,0.089,0.088
thermo-polyolefin,474,0.09,0.088,0.088
thermo-polyolefin,476,0.09,0.088,0.088
thermo-polyolefin,478,0.089,0.088,0.088
thermo-polyolefin,480,0.089,0.088,0.088
thermo-polyolefin,482,0.089,0.088,0.088
thermo-polyolefin,484,0.089,0.088,0.087
thermo-polyolefin,486,0.089,0.088,0.087
thermo-polyolefin,488,0.089,0.087,0.087
thermo-polyolefin,490,0.089,0.087,0.087
thermo-polyolefin,492,0.089,0.087,0.087
thermo-polyolefin,494,0.089,0.087,0.087
thermo-polyolefin,496,0.089,0.087,0.087
thermo-polyolefin,498,0.089,0.087,0.087
thermo-polyolefin,500,0.089,0.087,0.087
thermo-polyolefin,502,0.089,0.087,0.087
thermo-polyolefin,504,0.089,0.087,0.087
thermo-polyolefin,506,0.089,0.087,0.087
thermo-polyolefin,508,0.089,0.087,0.087
thermo-polyolefin,510,0.088,0.087,0.087
thermo-polyolefin,512,0.088,0.087,0.087
thermo-polyolefin,514,0.088,0.087,0.087
thermo-polyolefin,516,0.088,0.087,0.087
thermo-polyolefin,518,0.088,0.087,0.087
thermo-polyolefin,520,0.088,0.087,0.086
thermo-polyolefin,522,0.088,0.087,0.086
thermo-polyolefin,524,0.088,0.087,0.087
thermo-polyolefin,526,0.088,0.087,0.087
thermo-polyolefin,528,0.088,0.087,0.086
thermo-polyolefin,530,0.088,0.087,0.086
thermo-polyolefin,532,0.088,0.087,0.087
thermo-polyolefin,534,0.088,0.087,0.086
thermo-polyolefin,536,0.088,0.087,0.087
thermo-polyolefin,538,0.088,0.087,0.086
thermo-polyolefin,540,0.088,0.087,0.086
thermo-polyolefin,542,0.088,0.087,0.086
thermo-polyolefin,544,0.088,0.087,0.087
thermo-polyolefin,546,0.088,0.087,0.086
thermo-polyolefin,548,0.088,0.087,0.087
thermo-polyolefin,550,0.088,0.087,0.086
thermo-polyolefin,552,0.088,0.087,0.087
thermo-polyolefin,554,0.088,0.087,0.087
thermo-polyolefin,556,0.088,0.087,0.086
thermo-polyolefin,558,0.088,0.087,0.087
thermo-polyolefin,560,0.088,0.087,0.086
thermo-polyolefin,562,0.088,0.087,0.086
thermo-polyolefin,564,0.088,0.087,0.086
thermo-polyolefin,566,0.088,0.087,0.086
thermo-polyolefin,568,0.088,0.087,0.086
thermo-polyolefin,570,0.088,0.087,0.086
thermo-polyolefin,572,0.088,0.086,0.086
thermo-polyolefin,574,0.088,0.086,0.086
thermo-polyolefin,576,0.088,0.086,0.086
thermo-polyolefin,578,0.087,0.086,0.086
thermo-polyolefin,580,0.087,0.086,0.086
thermo-polyolefin,582,0.087,0.086,0.086
thermo-polyolefin,584,0.087,0.086,0.086
thermo-polyolefin,586,0.087,0.086,0.086
thermo-polyolefin,588,0.087,0.086,0.086
thermo-polyolefin,590,0.087,0.086,0.086
thermo-polyolefin,592,0.087,0.086,0.086
thermo-polyolefin,594,0.087,0.086,0.085
thermo-polyolefin,596,0.087,0.086,0.085
thermo-polyolefin,598,0.087,0.086,0.085
thermo-polyolefin,600,0.087,0.085,0.085
